"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build and deploy the charm and saturate its pgdata volume.","625957","test_filling_and_emptying_pgdata_storage","tests.integration","2026-09-22","passed","2026-09-22","","test_storage","",""
"Redeploy the charm in the same model to test that it works.","166247","test_redeploy_charm_same_model","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1813405","test_pitr_backup_ceph","tests.integration","2026-09-22","passed","2026-09-22","","test_backups_pitr_ceph","",""
"","52","test_exporter_is_up[0]","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Tests that the cluster maintains a primary after the primary is deleted.","63974","test_cluster_is_stable_after_leader_deletion","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Test that the charm can be deployed with a storage with more restrictive permissions.","74066","test_storage_with_more_restrictive_permissions","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Test that the pre-upgrade-check action runs successfully.","10234","test_pre_upgrade_check","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_upgrade","",""
"","0","test_upgrade","tests.integration.ha_tests","2026-09-22","skipped","2026-09-22","","test_upgrade_to_primary_label","",""
"","2057","test_settings_are_correct[1]","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"","351827","test_fail_and_rollback","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_upgrade","",""
"Tests that an automatic failover is triggered after an issue happens in the leader.","20272","test_automatic_failover_after_leader_issue","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Build the charm and deploy it.","148300","test_deploy_active","tests.integration","2026-09-22","passed","2026-09-22","","test_password_rotation","",""
"Test that check relation data.","257446","test_relations","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_relations_coherence","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","0","test_pitr_backup_aws","tests.integration","2026-09-22","skipped","2026-09-22","","test_backups_pitr_aws","",""
"","15360","test_default_all","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_synchronous_policy","",""
"Build and deploy three units of PostgreSQL.","7156","test_build_and_deploy","tests.integration","2026-09-22","passed","2026-09-22","","test_tls","",""
"Test that a previously broken relation would be functional if restored.","83701","test_restablish_relation","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"Check that writes in one cluster are not replicated to another cluster.","136444","test_no_data_replicated_between_clusters","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_replication","",""
"","16","test_labels_consistency_across_pods[2]","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Build and deploy a PostgreSQL cluster and a test application.","192237","test_deploy","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_restart","",""
"","295740","test_upgrade_from_edge","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_upgrade","",""
"Test password rotation action.","157413","test_password_rotation","tests.integration","2026-09-22","passed","2026-09-22","","test_password_rotation","",""
"","50","test_exporter_is_up[2]","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Test that passwords don't get exposed on postgresql logs.","801","test_no_password_exposed_on_logs","tests.integration","2026-09-22","passed","2026-09-22","","test_password_rotation","",""
"Write to primary, read data from secondaries (check consistency).","15499","test_consistency","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_replication","",""
"Build and deploy two units of PostgreSQL in GCP and then test the backup and restore actions.","0","test_backup_gcp","tests.integration","2026-09-22","skipped","2026-09-22","","test_backups_gcp","",""
"Test that async replication works when scaling the clusters.","593458","test_scaling","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_async_replication","",""
"Test that's possible to change PostgreSQL parameters.","72800","test_postgresql_parameters_change","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Build and deploy two units of PostgreSQL in microceph, test backup and restore actions.","624648","test_backup_ceph","tests.integration","2026-09-22","passed","2026-09-22","","test_backups_ceph","",""
"Test data is replicated to new units after a scale up.","247249","test_scale_down_and_up","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","2026-09-22","skipped","2026-09-22","","test_backups_gcp","",""
"","21","test_database_is_up[2]","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"","80641","test_interruption_db_process[SIGKILL-postgres]","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"Build and deploy two units of PostgreSQL in AWS and then test the backup and restore actions.","0","test_backup_aws","tests.integration","2026-09-22","skipped","2026-09-22","","test_backups_aws","",""
"Test worker process configuration parameters are applied correctly.","48166","test_worker_process_configs","tests.integration","2026-09-22","passed","2026-09-22","","test_config","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","144577","test_plugin_objects","tests.integration","2026-09-22","passed","2026-09-22","","test_plugins","",""
"","2063","test_settings_are_correct[2]","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Deploy the charm and wait for active/idle.","156134","test_deploy","tests.integration","2026-09-22","passed","2026-09-22","","test_headless_service","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","191198","test_plugins","tests.integration","2026-09-22","passed","2026-09-22","","test_plugins","",""
"Test superuser actions and the request for more permissions.","651","test_user_with_extra_roles","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"Test that in general, there is no change when password validation fails.","11556","test_no_password_change_on_invalid_password","tests.integration","2026-09-22","passed","2026-09-22","","test_password_rotation","",""
"Build and deploy three unit of PostgreSQL.","174200","test_build_and_deploy","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_replication","",""
"Redeploy the charm in the same model to test that it works after a forceful removal.","0","test_redeploy_charm_same_model_after_forcing_removal","tests.integration","2026-09-22","skipped","2026-09-22","","test_charm","",""
"","201508","test_pg_hba","tests.integration","2026-09-22","passed","2026-09-22","","test_pg_hba","",""
"","229660","test_invalid_extra_user_roles","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"","95601","test_interruption_db_process[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"Test that async replication fails over correctly.","75820","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_async_replication","",""
"","89779","test_interruption_db_process[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"","0","test_block_on_missing_region","tests.integration","2026-09-22","skipped","2026-09-22","","test_backups_gcp","",""
"","25","test_labels_consistency_across_pods[0]","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Test that the pre-upgrade-check action runs successfully.","8194","test_pre_upgrade_check","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_upgrade_from_stable","",""
"Test async replication between two PostgreSQL clusters.","226594","test_async_replication","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_async_replication","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","457262","test_deploy_stable","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_upgrade_from_stable","",""
"Test that a relation with no database name doesn't block the charm.","50805","test_relation_with_no_database_name","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"Remove unit with force while storage is alive.","109371","test_app_force_removal","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_smoke","",""
"Test the audit plugin.","123608","test_audit_plugin","tests.integration","2026-09-22","passed","2026-09-22","","test_audit","",""
"Scale the database to zero units and scale up again.","236984","test_scaling_to_zero","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_2","",""
"Test that the user is removed when the relation is broken.","42859","test_relation_broken","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"","80987","test_roles_blocking","tests.integration","2026-09-22","passed","2026-09-22","","test_db","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","102312","test_config_parameters","tests.integration","2026-09-22","passed","2026-09-22","","test_config","",""
"Test that an application can connect to different clusters of the same database.","83993","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"Build and deploy the charm with trust set to false.

    Assert on the unit status being blocked due to lack of trust.
    ","42420","test_deploy_without_trust","tests.integration","2026-09-22","passed","2026-09-22","","test_trust","",""
"","40","test_application_created_required_resources","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","545862","test_deploy_latest","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_upgrade","",""
"Test that there is no read-only endpoint in a standalone cluster.","107519","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"Completely cut and restore network.","259366","test_network_cut","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"Test application deploy in dirty environment with garbage storage from another application.","582439","test_app_resources_conflicts","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_smoke","",""
"Test promoting the standby cluster.","71077","test_promote_standby","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_async_replication","",""
"Kill primary unit, check reelection.","85604","test_reelection","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_replication","",""
"","42218","test_constant","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_synchronous_policy","",""
"Test that there is read-only endpoint in a scaled up cluster.","161602","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","38174","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"Delete headless service, verify error state, recreate, and recover.","25711","test_headless_service_error_and_recovery","tests.integration","2026-09-22","passed","2026-09-22","","test_headless_service","",""
"","80757","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"","41032","test_majority","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_synchronous_policy","",""
"Build and deploy three units of PostgreSQL.","86412","test_build_and_deploy","tests.integration","2026-09-22","passed","2026-09-22","","test_ldap","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration","2026-09-22","skipped","2026-09-22","","test_wrong_arch","",""
"Deploy both charms (application and database) to use in the tests.","74629","test_deploy_charms","tests.integration.relations","2026-09-22","passed","2026-09-22","","test_relations","",""
"Deploy Mattermost to test the 'db' relation.

    Mattermost needs TLS enabled on PostgreSQL to correctly connect to it.

    Args:
        ops_test: The ops test framework
    ","93663","test_mattermost_db","tests.integration","2026-09-22","passed","2026-09-22","","test_tls","",""
"Test that user can't connect with empty password.","2046","test_db_connection_with_empty_password","tests.integration","2026-09-22","passed","2026-09-22","","test_password_rotation","",""
"Test that the password can't be set to an empty string.","9112","test_empty_password","tests.integration","2026-09-22","passed","2026-09-22","","test_password_rotation","",""
"","2058","test_settings_are_correct[0]","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-09-22","skipped","2026-09-22","","test_upgrade_to_primary_label","",""
"Build and deploy three unit of PostgreSQL.","289873","test_build_and_deploy","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_2","",""
"Build the charm-under-test and deploy it.

    Assert on the unit status before any relations/configurations take place.
    ","154855","test_build_and_deploy","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
