"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests that the cluster maintains a primary after the primary is deleted.","64358","test_cluster_is_stable_after_leader_deletion","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"Build and deploy three unit of PostgreSQL.","219396","test_build_and_deploy","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"Test that there is no read-only endpoint in a standalone cluster.","105058","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"","86045","test_freeze_db_process[/usr/bin/patroni]","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"Test data persists through a graceful restart.","19196","test_persist_data_through_graceful_restart","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"","0","test_upgrade","tests.integration.ha_tests","2026-09-26","skipped","2026-09-26","","test_upgrade_to_primary_label","",""
"Tries deploying an arm64 charm on amd64 host.","52438","test_arm_charm_on_amd_host","tests.integration","2026-09-26","passed","2026-09-26","","test_wrong_arch","",""
"Test that the admin role gives access to all the databases.","144685","test_admin_role","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"Deploy Mattermost to test the 'db' relation.

    Mattermost needs TLS enabled on PostgreSQL to correctly connect to it.

    Args:
        ops_test: The ops test framework
    ","81614","test_mattermost_db","tests.integration","2026-09-26","passed","2026-09-26","","test_tls","",""
"Test restart of all the units simultaneously.","124000","test_restart","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_restart","",""
"Build and deploy two units of PostgreSQL in AWS and then test the backup and restore actions.","0","test_backup_aws","tests.integration","2026-09-26","skipped","2026-09-26","","test_backups_aws","",""
"Test application deploy in dirty environment with garbage storage from another application.","81701","test_app_resources_conflicts","tests.integration.ha_tests","2026-09-26","broken","2026-09-26","","test_smoke","",""
"Build and deploy a PostgreSQL cluster and a test application.","220595","test_deploy","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_restart","",""
"","77758","test_roles_blocking","tests.integration","2026-09-26","passed","2026-09-26","","test_db","",""
"","26147","test_switchover_sync_standby","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"","76845","test_remove_tls","tests.integration","2026-09-26","passed","2026-09-26","","test_tls","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","2026-09-26","skipped","2026-09-26","","test_rollback_to_master_label","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","141023","test_plugin_objects","tests.integration","2026-09-26","passed","2026-09-26","","test_plugins","",""
"","0","test_delete_pod","tests.integration","2026-09-26","skipped","2026-09-26","","test_backups_gcp","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-09-26","skipped","2026-09-26","","test_upgrade_to_primary_label","",""
"","2054","test_settings_are_correct[2]","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"","34900","test_constant","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_synchronous_policy","",""
"Test that a previously broken relation would be functional if restored.","110122","test_restablish_relation","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"Test basic functionality of database relation interface.","157480","test_database_deploy_clientapps","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_2","",""
"Check that writes in one cluster are not replicated to another cluster.","132992","test_no_data_replicated_between_clusters","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_replication","",""
"Deploy both charms (application and database) to use in the tests.","79766","test_deploy_charms","tests.integration.relations","2026-09-26","passed","2026-09-26","","test_relations","",""
"Test worker process configuration parameters are applied correctly.","45454","test_worker_process_configs","tests.integration","2026-09-26","passed","2026-09-26","","test_config","",""
"","0","test_block_on_missing_region","tests.integration","2026-09-26","skipped","2026-09-26","","test_backups_gcp","",""
"","89785","test_interruption_db_process[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"Test that check relation data.","275001","test_relations","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_relations_coherence","",""
"Test that the charm can be deployed with a storage with more restrictive permissions.","73289","test_storage_with_more_restrictive_permissions","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"Test data persists through a failure.","93101","test_persist_data_through_failure","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"","95624","test_interruption_db_process[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"","62","test_exporter_is_up[2]","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"","2050","test_settings_are_correct[1]","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"Test that in general, there is no change when password validation fails.","11579","test_no_password_change_on_invalid_password","tests.integration","2026-09-26","passed","2026-09-26","","test_password_rotation","",""
"Remove unit with force while storage is alive.","99707","test_app_force_removal","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_smoke","",""
"Build and deploy three unit of PostgreSQL.","213848","test_build_and_deploy","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_replication","",""
"Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
        charm: `charm` fixture
    ","654978","test_finos_waltz_db","tests.integration","2026-09-26","passed","2026-09-26","","test_db","",""
"Test the audit plugin.","157936","test_audit_plugin","tests.integration","2026-09-26","passed","2026-09-26","","test_audit","",""
"Test switching over to the second cluster.","180114","test_switchover","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_async_replication","",""
"Test that async replication fails over correctly.","84903","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_async_replication","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","490659","test_deploy_latest","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_upgrade","",""
"","56","test_exporter_is_up[0]","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration","2026-09-26","skipped","2026-09-26","","test_wrong_arch","",""
"","19","test_labels_consistency_across_pods[2]","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"","307905","test_invalid_extra_user_roles","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"Test that async replication fails back correctly.","2005823","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2026-09-26","broken","2026-09-26","","test_async_replication","",""
"Test that an application can request additional databases using the same interface.","106838","test_an_application_can_request_multiple_databases","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"","150257","test_legacy_and_modern_endpoints_simultaneously","tests.integration.relations","2026-09-26","passed","2026-09-26","","test_relations","",""
"","269281","test_extensions_blocking","tests.integration","2026-09-26","passed","2026-09-26","","test_db","",""
"Redeploy the charm in the same model to test that it works.","151947","test_redeploy_charm_same_model","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"","19","test_database_is_up[2]","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","102133","test_config_parameters","tests.integration","2026-09-26","passed","2026-09-26","","test_config","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","30810","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"Test that a relation with no database name doesn't block the charm.","63250","test_relation_with_no_database_name","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"Completely cut and restore network.","249317","test_network_cut","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"Build the charm and deploy it.","169299","test_deploy_active","tests.integration","2026-09-26","passed","2026-09-26","","test_password_rotation","",""
"Test password rotation action.","145874","test_password_rotation","tests.integration","2026-09-26","passed","2026-09-26","","test_password_rotation","",""
"Test basic functionality of database relation interface.","305448","test_database_relation_with_charm_libraries","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","2026-09-26","skipped","2026-09-26","","test_backups_gcp","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2376","test_password_from_secret_same_as_cli","tests.integration","2026-09-26","passed","2026-09-26","","test_password_rotation","",""
"","80639","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"Build and deploy two units of PostgreSQL in microceph, test backup and restore actions.","595141","test_backup_ceph","tests.integration","2026-09-26","passed","2026-09-26","","test_backups_ceph","",""
"Test that two different application connect to the database with different credentials.","99134","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"Test that's possible to change PostgreSQL parameters.","65870","test_postgresql_parameters_change","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","41165","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"Test that the pre-upgrade-check action runs successfully.","8188","test_pre_upgrade_check","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_upgrade","",""
"Build and deploy three units of PostgreSQL.","85430","test_build_and_deploy","tests.integration","2026-09-26","passed","2026-09-26","","test_ldap","",""
"Build and deploy three units of PostgreSQL.","7802","test_build_and_deploy","tests.integration","2026-09-26","passed","2026-09-26","","test_tls","",""
"Test promoting the standby cluster.","80180","test_promote_standby","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_async_replication","",""
"Trust existing blocked deployment.

    Assert on the application status recovering to active.
    ","96988","test_trust_blocked_deployment","tests.integration","2026-09-26","passed","2026-09-26","","test_trust","",""
"","24","test_labels_consistency_across_pods[1]","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"Test that async replication works when scaling the clusters.","0","test_scaling","tests.integration.ha_tests","2026-09-26","skipped","2026-09-26","","test_async_replication","",""
"Build and deploy the charm with trust set to false.

    Assert on the unit status being blocked due to lack of trust.
    ","41684","test_deploy_without_trust","tests.integration","2026-09-26","passed","2026-09-26","","test_trust","",""
"Test that the password can't be set to an empty string.","8151","test_empty_password","tests.integration","2026-09-26","passed","2026-09-26","","test_password_rotation","",""
"Delete headless service, verify error state, recreate, and recover.","27761","test_headless_service_error_and_recovery","tests.integration","2026-09-26","passed","2026-09-26","","test_headless_service","",""
"Test that the relation can be broken and re-established.","137059","test_reestablish_relation","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_async_replication","",""
"","58","test_exporter_is_up[1]","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"Test that an application can connect to different clusters of the same database.","135939","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"Test that passwords don't get exposed on postgresql logs.","886","test_no_password_exposed_on_logs","tests.integration","2026-09-26","passed","2026-09-26","","test_password_rotation","",""
"Test that there is read-only endpoint in a scaled up cluster.","207584","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"Test that an application can connect to different clusters of the same database.","125906","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"","15412","test_default_all","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_synchronous_policy","",""
"","34971","test_majority","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_synchronous_policy","",""
"","845228","test_discourse","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_2","",""
"Test superuser actions and the request for more permissions.","608","test_user_with_extra_roles","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"Build and deploy the charm and saturate its pgdata volume.","778323","test_filling_and_emptying_pgdata_storage","tests.integration","2026-09-26","passed","2026-09-26","","test_storage","",""
"","269505","test_upgrade_from_edge","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_upgrade","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","0","test_pitr_backup_aws","tests.integration","2026-09-26","skipped","2026-09-26","","test_backups_pitr_aws","",""
"","20","test_database_is_up[1]","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"","80381","test_interruption_db_process[SIGKILL-postgres]","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"","2058","test_settings_are_correct[0]","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"Build and deploy three unit of PostgreSQL.","221053","test_build_and_deploy","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_2","",""
"Deploy the charm and wait for active/idle.","170528","test_deploy","tests.integration","2026-09-26","passed","2026-09-26","","test_headless_service","",""
"","45","test_application_created_required_resources","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"","22","test_database_is_up[0]","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"","83041","test_freeze_db_process[postgres]","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"Redeploy the charm in the same model to test that it works after a forceful removal.","0","test_redeploy_charm_same_model_after_forcing_removal","tests.integration","2026-09-26","skipped","2026-09-26","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","37825","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"Test async replication between two PostgreSQL clusters.","227238","test_async_replication","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_async_replication","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","360618","test_deploy_stable","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_upgrade_from_stable","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1699498","test_pitr_backup_ceph","tests.integration","2026-09-26","passed","2026-09-26","","test_backups_pitr_ceph","",""
"Test charm deploy in dirty environment with garbage storage.","98926","test_app_garbage_ignorance","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_smoke","",""
"","312840","test_fail_and_rollback","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_upgrade","",""
"","276975","test_glauth_integration","tests.integration","2026-09-26","passed","2026-09-26","","test_ldap","",""
"Test that the user is removed when the relation is broken.","50357","test_relation_broken","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","30720","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"Kill primary unit, check reelection.","102909","test_reelection","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_replication","",""
"Build and deploy two units of PostgreSQL in GCP and then test PITR backup and restore actions.","0","test_pitr_backup_gcp","tests.integration","2026-09-26","skipped","2026-09-26","","test_backups_pitr_gcp","",""
"","192006","test_pg_hba","tests.integration","2026-09-26","passed","2026-09-26","","test_pg_hba","",""
"Build and deploy two units of PostgreSQL in GCP and then test the backup and restore actions.","0","test_backup_gcp","tests.integration","2026-09-26","skipped","2026-09-26","","test_backups_gcp","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","279192","test_deploy_async_replication_setup","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_async_replication","",""
"Test wal_compression configuration parameter.","49984","test_wal_compression_config","tests.integration","2026-09-26","passed","2026-09-26","","test_config","",""
